client_id,anciennete_mois,type_contrat,montant_mensuel,methode_paiement,reclamations,churn
SEN-1000,12,Mensuel,27200.0,Prélèvement,2,Oui
SEN-1001,2,Mensuel,10900.0,Prélèvement,4,Oui
SEN-1002,13,Mensuel,8700.0,Carte Bdf,3,Oui
SEN-1003,8,1 an,37600.0,Carte Bdf,3,Oui
SEN-1004,19,1 an,40800.0,Carte Bdf,1,Non
SEN-1005,1,Mensuel,37900.0,Prélèvement,2,Oui
SEN-1006,5,Mensuel,41000.0,Prélèvement,2,Oui
SEN-1007,9,Mensuel,27100.0,Wave,2,Oui
SEN-1008,17,Mensuel,37500.0,Orange Money,4,Oui
SEN-1009,16,1 an,20400.0,Wave,0,Non
SEN-1010,11,Mensuel,31700.0,Prélèvement,4,Oui
SEN-1011,40,1 an,44600.0,Carte Bdf,2,Non
SEN-1012,6,Mensuel,14000.0,Prélèvement,3,Oui
SEN-1013,3,Mensuel,20600.0,Orange Money,5,Oui
SEN-1014,17,Mensuel,24200.0,Wave,2,Oui
SEN-1015,5,Mensuel,10500.0,Wave,3,Oui
SEN-1016,27,Mensuel,8200.0,Carte Bdf,0,Non
SEN-1017,14,Mensuel,38200.0,Wave,4,Oui
SEN-1018,11,Mensuel,44100.0,Wave,3,Oui
SEN-1019,68,Mensuel,21200.0,Prélèvement,0,Non
SEN-1020,2,Mensuel,8500.0,Wave,3,Oui
SEN-1021,27,2 ans,7600.0,Wave,1,Non
SEN-1022,23,2 ans,40700.0,Wave,1,Non
SEN-1023,3,Mensuel,23600.0,Carte Bdf,3,Oui
SEN-1024,27,2 ans,17800.0,Carte Bdf,2,Non
SEN-1025,23,2 ans,24100.0,Prélèvement,0,Non
SEN-1026,19,1 an,17700.0,Wave,0,Non
SEN-1027,11,Mensuel,24600.0,Carte Bdf,4,Oui
SEN-1028,9,Mensuel,39400.0,Carte Bdf,3,Oui
SEN-1029,5,Mensuel,28700.0,Prélèvement,5,Oui
SEN-1030,41,1 an,32800.0,Orange Money,1,Non
SEN-1031,56,1 an,19600.0,Wave,1,Non
SEN-1032,5,1 an,34500.0,Carte Bdf,5,Oui
SEN-1033,39,2 ans,31700.0,Prélèvement,2,Non
SEN-1034,62,Mensuel,9800.0,Prélèvement,0,Non
SEN-1035,51,2 ans,27900.0,Prélèvement,1,Non
SEN-1036,13,1 an,15300.0,Carte Bdf,5,Oui
SEN-1037,10,Mensuel,37200.0,Wave,2,Oui
SEN-1038,8,1 an,22000.0,Orange Money,2,Oui
SEN-1039,51,2 ans,44800.0,Wave,0,Non
SEN-1040,67,2 ans,8700.0,Prélèvement,0,Non
SEN-1041,55,1 an,36200.0,Prélèvement,2,Non
SEN-1042,12,1 an,31900.0,Orange Money,1,Non
SEN-1043,6,Mensuel,35700.0,Wave,5,Oui
SEN-1044,41,1 an,17300.0,Prélèvement,1,Non
SEN-1045,32,2 ans,24700.0,Prélèvement,0,Non
SEN-1046,1,Mensuel,36900.0,Wave,2,Oui
SEN-1047,17,Mensuel,14300.0,Prélèvement,4,Oui
SEN-1048,33,1 an,14000.0,Wave,2,Non
SEN-1049,15,Mensuel,27000.0,Prélèvement,3,Oui
SEN-1050,2,Mensuel,25900.0,Wave,4,Oui
SEN-1051,14,Mensuel,16300.0,Orange Money,4,Oui
SEN-1052,43,1 an,16900.0,Prélèvement,0,Non
SEN-1053,8,Mensuel,16100.0,Orange Money,3,Oui
SEN-1054,64,1 an,35900.0,Prélèvement,1,Non
SEN-1055,27,Mensuel,31100.0,Prélèvement,2,Non
SEN-1056,6,Mensuel,38300.0,Carte Bdf,2,Oui
SEN-1057,49,1 an,44000.0,Wave,2,Non
SEN-1058,63,1 an,24000.0,Orange Money,1,Non
SEN-1059,8,1 an,7700.0,Orange Money,2,Oui
SEN-1060,25,1 an,6900.0,Orange Money,0,Non
SEN-1061,47,1 an,16800.0,Wave,1,Non
SEN-1062,15,Mensuel,42300.0,Carte Bdf,3,Oui
SEN-1063,34,2 ans,25900.0,Orange Money,2,Non
SEN-1064,7,Mensuel,15900.0,Wave,5,Oui
SEN-1065,4,Mensuel,21000.0,Prélèvement,5,Oui
SEN-1066,6,Mensuel,28900.0,Orange Money,5,Oui
SEN-1067,1,Mensuel,31100.0,Orange Money,5,Oui
SEN-1068,32,1 an,11200.0,Carte Bdf,2,Non
SEN-1069,1,Mensuel,44100.0,Orange Money,5,Oui
SEN-1070,38,1 an,26800.0,Orange Money,1,Non
SEN-1071,68,2 ans,10400.0,Prélèvement,2,Non
SEN-1072,10,Mensuel,40700.0,Wave,4,Oui
SEN-1073,5,Mensuel,8000.0,Wave,3,Oui
SEN-1074,22,2 ans,41300.0,Carte Bdf,2,Non
SEN-1075,14,1 an,44900.0,Prélèvement,1,Non
SEN-1076,6,Mensuel,33000.0,Wave,4,Oui
SEN-1077,34,1 an,35800.0,Prélèvement,1,Non
SEN-1078,15,Mensuel,18500.0,Wave,3,Oui
SEN-1079,15,Mensuel,42700.0,Prélèvement,1,Non
SEN-1080,13,1 an,26200.0,Carte Bdf,2,Oui
SEN-1081,66,1 an,34300.0,Orange Money,0,Non
SEN-1082,17,1 an,42000.0,Carte Bdf,2,Non
SEN-1083,46,2 ans,44000.0,Wave,0,Non
SEN-1084,33,1 an,38300.0,Carte Bdf,0,Non
SEN-1085,4,Mensuel,17100.0,Orange Money,4,Oui
SEN-1086,12,Mensuel,43700.0,Carte Bdf,2,Oui
SEN-1087,13,Mensuel,30100.0,Wave,4,Oui
SEN-1088,2,Mensuel,42200.0,Wave,2,Oui
SEN-1089,48,2 ans,32000.0,Carte Bdf,2,Non
SEN-1090,63,1 an,17300.0,Orange Money,2,Non
SEN-1091,53,2 ans,19800.0,Carte Bdf,1,Non
SEN-1092,5,Mensuel,27000.0,Orange Money,3,Oui
SEN-1093,58,1 an,36600.0,Prélèvement,0,Non
SEN-1094,10,Mensuel,17700.0,Orange Money,2,Oui
SEN-1095,53,1 an,28200.0,Prélèvement,2,Non
SEN-1096,6,Mensuel,18800.0,Carte Bdf,3,Oui
SEN-1097,29,2 ans,37600.0,Orange Money,2,Non
SEN-1098,56,2 ans,23700.0,Prélèvement,1,Non
SEN-1099,15,1 an,8100.0,Prélèvement,4,Oui
SEN-1100,14,Mensuel,11600.0,Prélèvement,4,Oui
SEN-1101,35,1 an,7400.0,Wave,1,Non
SEN-1102,12,Mensuel,25000.0,Carte Bdf,5,Oui
SEN-1103,41,1 an,9300.0,Prélèvement,1,Non
SEN-1104,8,Mensuel,9600.0,Orange Money,2,Oui
SEN-1105,1,1 an,42600.0,Prélèvement,3,Oui
SEN-1106,15,Mensuel,39900.0,Wave,2,Oui
